"(2,1,1,2)","1/(q*t)"
"(2,5,1,6)","1/(q^3*t)-q/t"
"(2,9,1,10)","1/(q^3*t)-1/(q*t)-q/t+q^3/t"
"(2,2,2,2)","-(t/q^3)"
"(2,3,2,3)","q^(-4)"
"(2,4,2,3)","q^(-4)"
"(2,3,2,4)","-(t/q^3)"
"(2,4,2,4)","-(t/q^3)"
"(2,6,2,6)","t/q^7-t/q^3"
"(2,7,2,7)","-q^(-6)+q^(-2)"
"(2,8,2,7)","q^(-6)-q^(-2)"
"(2,7,2,8)","-(t/q^7)+t/q^3"
"(2,8,2,8)","t/q^7-t/q^3"
"(2,10,2,10)","-(t/q^9)+t/q^7+t/q^5-t/q^3"
"(2,11,2,11)","1+q^(-6)-q^(-4)-q^(-2)-t/q^9+t/q^7+t/q^5-t/q^3"
"(2,3,3,2)","-q^(-4)"
"(2,5,3,3)","1/(q^5*t)"
"(2,5,3,4)","-q^(-4)"
"(2,7,3,6)","q^(-8)+q^(-6)-q^(-4)-q^(-2)"
"(2,9,3,7)","1/(q^7*t)+1/(q^5*t)-1/(q^3*t)-1/(q*t)"
"(2,9,3,8)","q^(-8)+q^(-6)-q^(-4)-q^(-2)"
"(2,11,3,10)","-1-q^(-10)+q^(-6)+q^(-4)"
"(2,4,4,2)","-q^(-4)"
"(2,5,4,3)","-(1/(q^5*t))"
"(2,5,4,4)","q^(-4)"
"(2,7,4,6)","-q^(-8)+q^(-4)"
"(2,8,4,6)","-q^(-6)+q^(-2)"
"(2,9,4,7)","-(1/(q^7*t))-1/(q^5*t)+1/(q^3*t)+1/(q*t)"
"(2,9,4,8)","-q^(-8)-q^(-6)+q^(-4)+q^(-2)"
"(2,11,4,10)","q^(-10)-2/q^6+q^(-2)+t/q^9-t/q^7-t/q^5+t/q^3"
"(2,5,5,2)","-(1/(q^5*t))"
"(2,9,5,6)","-(1/(q^7*t))-1/(q^5*t)+1/(q^3*t)+1/(q*t)"
"(2,6,6,2)","t/q^7"
"(2,7,6,3)","q^(-8)"
"(2,8,6,3)","-q^(-8)"
"(2,7,6,4)","-(t/q^7)"
"(2,8,6,4)","t/q^7"
"(2,10,6,6)","-(t/q^11)-t/q^9+t/q^7+t/q^5"
"(2,11,6,7)","-q^(-10)-q^(-8)+q^(-6)+q^(-4)+t/q^13+t/q^11-t/q^9-t/q^7"
"(2,11,6,8)","-(t/q^11)-t/q^9+t/q^7+t/q^5+t^2/q^14+t^2/q^12-t^2/q^10-t^2/q^8"
"(2,7,7,2)","q^(-8)"
"(2,9,7,3)","-(1/(q^9*t))"
